clinic,city,address,phone,website,rating,reviews,status
"Kjøita tannklinikk","Kristiansand","Kjøita 17, 4630 Kristiansand","38 60 35 20","http://www.kjoitatannklinikk.no/","4.6","20","new"
"Elvebredden Tannlegesenter","Kristiansand","Nedre Lunds vei 1, 4630 Kristiansand","38 09 27 00","http://www.elvebredden-tannlegesenter.no/","4.4","14","new"
"Active Branch As","Kristiansand","Dronningens gate 4, 4610 Kristiansand","38 02 23 13","","5","4","new"
"Tannlege Torjesen","Kristiansand","Dronningens gate 4, 4610 Kristiansand","38 60 15 51","","5","1","new"
"Tannregulering Sør AS","Kristiansand","Østre Strandgate 56, 4608 Kristiansand","91 86 10 46","https://www.tannregsor.no/","3.1","64","new"
"Spesialistklinikk AS","Kristiansand","Vestre Strandgate 42, 4612 Kristiansand","38 02 55 22","https://spesialistklinikk.com/","5","1","new"
"Vågsbygd Tannhelsesenter","Kristiansand","Kirsten Flagstads vei 30, 4621 Kristiansand","38 08 53 52","http://vågsbygdtannlege.com/","4.5","11","new"
"Industrigata Tannlegesenter","Kristiansand","Industrigata 4, 4632 Kristiansand","","","5","2","new"
"Syrtveit Dental AS","Kristiansand","Tordenskjolds gate 16, 4612 Kristiansand","38 12 46 46","","5","2","new"
"Tannlege Susanne Hou Pedersen","Kristiansand","Gyldenløves gate 5, 4611 Kristiansand","38 12 09 60","https://tannlegeneigyldenlovesgate.no/","3","2","new"
"Randesund Tannlegesenter","Kristiansand","Lauvåsen Hovedvei 1, 4656 Hamresanden","38 14 83 90","","5","1","new"
"Tannlegene Røisland og Merde AS","Kristiansand","Holbergs gate 54, 4614 Kristiansand","38 02 99 11","","5","3","new"
"Akutt Tannlege","Kristiansand","Kongens gate 7B, 4610 Kristiansand","","","","","new"
"Tannregulering Kristiansand AS","Kristiansand","Henrik Wergelands gate 17A, 4612 Kristiansand","38 02 31 90","http://www.tannregulering-krs.com/","4.2","28","new"
"Tannlege Dr Sean S Attariani D.M.D.","Kristiansand","Marviksveien 1, 4631 Kristiansand","94 22 45 91","","3.5","2","new"
"Vali Honarmandi","Kristiansand","Heilosvingen 14, 4626 Kristiansand","38 62 01 40","","4.4","7","new"
"Tannlege Lind AS","Kristiansand","Barstølveien 36A, 4636 Kristiansand","","","5","1","new"
"KVADRATUREN TANNREGULERING Eva Hasund","Kristiansand","Markens gate 42, 4612 Kristiansand","38 04 85 00","http://helsehusetkristiansand.no/barbel-hasund","4","2","new"
"Tannlege Håkstad Glad As","Kristiansand","Markens gate 36, 4612 Kristiansand","","","","","new"
"Tinnheia tannlegekontor AS","Kristiansand","Tinnheiveien 20, 4629 Kristiansand","38 03 06 88","","4","4","new"
